label,jsonl_data
TiO2 content,"{'data': 'Content of rutile % ,min | Content of rutile % ,min | Content of rutile % ,min | 98 | 99 <header> <Items> | <Items> | <Items> | <Specification> | <Typical Analysis> </header>', 'label': [[18, 19, 'unit'], [45, 46, 'unit'], [72, 73, 'unit'], [81, 83, 'min'], [86, 88, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 | TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 | TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 | TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 | TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 | TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 <header> <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > </header>', 'label': [[14, 15, 'unit'], [204, 205, 'unit'], [394, 395, 'unit'], [584, 585, 'unit'], [184, 187, 'mean'], [374, 377, 'mean'], [564, 567, 'mean'], [754, 757, 'mean'], [944, 947, 'mean'], [1134, 1137, 'mean'], [774, 775, 'unit'], [964, 965, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 Content ( % ) min | 93.0 <header> < - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - TYPE> | <R - 996 > </header>', 'label': [[16, 17, 'unit'], [26, 30, 'min']]}"
Density,"{'data': 'Specific gravity | ................................................................................................................................ 4.05', 'label': [[148, 152, 'mean']]}"
Inorganic surface treatment,"{'data': 'Inorganic Surface Treatment: | Alumina, Zirconia', 'label': []}"
multi,"{'data': 'pH: Specific gravity: | 8.5 3.8', 'label': []}"
Inorganic surface treatment,"{'data': 'Alumina, wt % | 6.4 <header> <Property> | <R - 931 > </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [16, 19, 'mean']]}"
Production Process,"{'data': 'Description: | TiONA® 595 is a high performance, multipurpose chloride - process | Lot 350 Old Coast Road | Australind WA 6233 <label>', 'label': []}"
Oil Absorption,"{'data': 'Oil absorption, g/ 100 g of pigment | | 16 – 19 | ISO 787 - 5 <header> <TYPICAL PROPERTIES:> <TiO 2, wt % > | <TYPICAL PROPERTIES:> <min.> | <TYPICAL PROPERTIES:> < 94 > | <TYPICAL PROPERTIES:> <ISO 591 - 1 > </header>', 'label': [[16, 24, 'unit'], [25, 35, 'measuring_condition'], [40, 42, 'min'], [45, 47, 'max'], [50, 61, 'method']]}"
Oil Absorption,"{'data': 'Oil Absorption | 35.9 <header> <Property> | <R - 931 > </header>', 'label': [[17, 21, 'mean']]}"
Density,"{'data': 'Bulk Density ( Loose ) , kg/m 3 | 640 <header> <Color> | <Light Beige> </header>', 'label': [[0, 4, 'measuring_condition'], [15, 20, 'measuring_condition'], [25, 31, 'unit'], [34, 37, 'mean']]}"
Particle size,"{'data': 'Median Particle Size, μm | 0.28 | 0.28 | 0.28', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean'], [34, 38, 'mean'], [41, 45, 'mean']]}"
Inorganic surface treatment,"{'data': 'Alumina, wt % , max. | 3.5', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [23, 26, 'max']]}"
Density,"{'data': 'Density ( DIN EN ISO 787 - 10 ) * | 4.1 g/cm 3', 'label': [[10, 29, 'method'], [36, 39, 'mean'], [40, 46, 'unit']]}"
Inorganic surface treatment,"{'data': 'Alumina, wt % | 3.3 <header> <Property> | <R - 960 > </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [16, 19, 'mean']]}"
header,"{'data': 'PROPERTY | ANALYSIS', 'label': []}"
Density,"{'data': 'Specific Gravity ( g/cm 3 ) | 4.1', 'label': [[19, 25, 'unit'], [30, 33, 'mean']]}"
Inorganic surface treatment,"{'data': 'Surface treatment | aluminium, silicon and zirconium compounds', 'label': []}"
TiO2 content,"{'data': 'TiO 2 weight percent, % | 92 | 92 <header> <Storage> | <and water based paints and varnishes. In order to increase light and weather resistance the Pigment is surface treated with zirconium and aluminum hydroxides, and suitable organic surface modifier to improve dispersibility in various dispersion systems. Crimea TiOx - 280 based coatings show long - lasting gloss retention and reduced chalking.> | <and water based paints and varnishes. In order to increase light and weather resistance the Pigment is surface treated with zirconium and aluminum hydroxides, and suitable organic surface modifier to improve dispersibility in various dispersion systems. Crimea TiOx - 280 based coatings show long - lasting gloss retention and reduced chalking.> </header>', 'label': [[22, 23, 'unit'], [26, 28, 'mean'], [31, 33, 'mean']]}"
Inorganic surface treatment,"{'data': 'Alumina, wt % | 2.5 <header> <Property> | <R - 706 > </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [16, 19, 'mean']]}"
pH,"{'data': 'pH | 7.9 <header> <Property> | <R - 902 +> </header>', 'label': [[5, 8, 'mean']]}"
Density,"{'data': 'Product Characteristics | Density ( ISO 787, Part 10 ) 4.0 g/cm 3 <header> <Applications> | <White and tinted automotive finishes and vehicle refinish systems Coil coatings Powder coatings Water - borne paints High - solids High - quality industrial coatings> </header>', 'label': [[36, 52, 'method'], [55, 58, 'mean'], [59, 65, 'unit']]}"
Oil Absorption,"{'data': 'Oil Absorption ( g/ 100 g ) | 19.0', 'label': [[17, 25, 'unit'], [30, 34, 'mean']]}"
Density,"{'data': 'Specific gravity | 4.1 g/cm 3 <header> <TYPICAL PROPERTIES> <TiO 2 content> | <TYPICAL PROPERTIES> <≥ 94.0 % > </header>', 'label': [[19, 22, 'mean'], [23, 29, 'unit']]}"
Density,"{'data': 'Specific gravity ( g/cm 3 ) | 4.1', 'label': [[19, 25, 'unit'], [30, 33, 'mean']]}"
Density,"{'data': 'Density ( ISO 787, Part 10 ) | 4.1 g/cm 3', 'label': [[10, 26, 'method'], [31, 34, 'mean'], [35, 41, 'unit']]}"
"Crystal (rutile %, anatase %)","{'data': '金红石含量 | Rutile content, % | ≥ 98 <header> <典型数据> | <Property> | <SR - 237 > </header>', 'label': [[24, 25, 'unit'], [30, 32, 'min']]}"
pH,"{'data': 'рН of water suspension | 6,5 - 8,0 | GOST 21119.3 ; ISO 787 - 9 <header> <Indices and measuring units> | <Norm> | <Test method> </header>', 'label': [[6, 22, 'measuring_condition'], [25, 28, 'min'], [31, 34, 'max'], [37, 63, 'method']]}"
Oil Absorption,"{'data': 'Oil Absorption ( g. Oil/ 100 g ) | 23 <header> <Color> | <Beige> </header>', 'label': [[17, 30, 'unit'], [35, 37, 'mean']]}"
Density,"{'data': 'Density: | 34.2 lbs/gal', 'label': [[11, 15, 'mean'], [16, 23, 'unit']]}"
Particle size,"{'data': 'Median Particle Size, µm | 0.41 | 0.405 | 0.36 | 0.50 | 0.55 | 0.39 <header> <DuPont™ Ti - Pure® TiO 2 for Coatings — Dry Grades> | <Property> <R - 900 > | <Property> <R - 902 +> | <Property> <R - 706 > | <Property> <R - 960 > | <Property> <R - 931 > | <Property> <TS - 6200 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean'], [34, 39, 'mean'], [42, 46, 'mean'], [49, 53, 'mean'], [56, 60, 'mean'], [63, 67, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 94 %', 'label': [[16, 30, 'method'], [35, 37, 'mean'], [38, 39, 'unit']]}"
pH,"{'data': '• pH ( 10 % suspension ) : | 7.5', 'label': [[7, 22, 'measuring_condition'], [29, 32, 'mean']]}"
pH,"{'data': 'PH | 6.0 - 8.5', 'label': [[5, 8, 'min'], [11, 14, 'max']]}"
TiO2 content,"{'data': 'TiO 2 wt % , min. | 93', 'label': [[6, 8, 'measuring_condition'], [9, 10, 'unit'], [20, 22, 'min']]}"
Particle size,"{'data': 'Median Particle Size, µm | 0.41 <header> <Property> | <R - 900 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean']]}"
header,"{'data': 'PARAMETER | VALUE | TEST METHOD <header> <PARAMETER> | <VALUE> | <TEST METHOD> </header>', 'label': []}"
Density,"{'data': 'Specific gravity ( g/cm 3 ) | 3.9 - 4.2 | 4.10 <header> <Characteristics> | <Specification> | <Typical Value> </header>', 'label': [[19, 25, 'unit'], [30, 33, 'min'], [36, 39, 'max']]}"
TiO2 content,"{'data': '二氧化钛含量 | TiO 2 content, % | ≥ 93 <header> <典型数据> | <Property> | <SR - 237 > </header>', 'label': [[24, 25, 'unit'], [30, 32, 'min']]}"
TiO2 content,"{'data': 'Tio, content | ≥ 93 % <header> <Tio, content> | <≥ 93 % > </header>', 'label': [[17, 19, 'min'], [20, 21, 'unit']]}"
pH,"{'data': 'pH | 8.1 *', 'label': [[5, 8, 'mean']]}"
Inorganic surface treatment,"{'data': 'SiO 2, % | 1.25 <header> <> | <ULX> </header>', 'label': [[7, 8, 'unit'], [11, 15, 'mean']]}"
Density,"{'data': 'Bulk Density ( Loose ) , kg/m 3 | 640 <header> <Color> | <Light Beige> </header>', 'label': [[0, 4, 'measuring_condition'], [15, 20, 'measuring_condition'], [25, 31, 'unit'], [34, 37, 'mean']]}"
header,"{'data': 'No. | Determined parameter | Test Method | Unit | Requirements <header> <No.> | <Determined parameter> | <Test Method> | <Unit> | <Requirements> </header>', 'label': []}"
pH,"{'data': '• | pH ( 10 % suspension ) : | 7.8', 'label': [[9, 24, 'measuring_condition'], [31, 34, 'mean']]}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | 1.1 <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile Content， % | 99.9', 'label': [[16, 17, 'unit'], [20, 24, 'mean']]}"
TiO2 content,"{'data': 'Typical Properties: | • | TiO 2 content: | 92 %', 'label': [[43, 45, 'mean'], [46, 47, 'unit']]}"
Density,"{'data': 'Specific Gravity | 3.9 <header> <Property> | <R - 960 > </header>', 'label': [[19, 22, 'mean']]}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Crystal Form> | <Rutile> </header>', 'label': []}"
Particle size,"{'data': 'Particle Size ( nm ) | Particle Size ( nm ) | 15 | 30 | 50 <header> <ITEM> | <ITEM> | <MT - 100 HD> | <MT - 500 HD> | <MT - 700 HD> </header>', 'label': [[16, 18, 'unit'], [39, 41, 'unit'], [46, 48, 'mean'], [51, 53, 'mean'], [56, 58, 'mean']]}"
Density,"{'data': '3 Specific density, g/cm | | 3.98 | ISO 787 - 10 <header> <TYPICAL PROPERTIES:> <TiO 2, wt % > | <TYPICAL PROPERTIES:> <min.> | <TYPICAL PROPERTIES:> < 94 > | <TYPICAL PROPERTIES:> <ISO 591 - 1 > </header>', 'label': [[20, 24, 'unit'], [0, 1, 'unclear_value'], [29, 33, 'mean'], [36, 48, 'method']]}"
Production Process,"{'data': 'Product | Titanium dioxide. Rutile pigment produced by the sulphate process. <label>', 'label': []}"
Particle size,"{'data': 'Particle Size（µm） | 0.28 | 0.28 <header> <> | <PFC 105 > | <CR - 95 > </header>', 'label': [[20, 24, 'mean'], [27, 31, 'mean'], [14, 16, 'unit']]}"
Density,"{'data': 'Specific gravity | 4.1 g/cm 3', 'label': [[19, 22, 'mean'], [23, 29, 'unit']]}"
pH,"{'data': 'pH ... . . 7.5 | pH ... . . 7.5 | pH ... . . 7.5', 'label': [[11, 14, 'mean'], [28, 31, 'mean'], [45, 48, 'mean']]}"
Inorganic surface treatment,"{'data': 'Amorphous silica | 7631 - 86 - 9 | 5 - 6 <header> <Component> | <CAS #> | <Weight % ( approx. ) > </header>', 'label': [[0, 9, 'measuring_condition'], [35, 36, 'min'], [39, 40, 'max']]}"
pH,"{'data': 'Water - soluble matters, % pH ( aqueous slurry ) | 0,1 6,5 - 8,0 | 0,1 6,5 - 8,0 <header> <Storage> | <and water based paints and varnishes. In order to increase light and weather resistance the Pigment is surface treated with zirconium and aluminum hydroxides, and suitable organic surface modifier to improve dispersibility in various dispersion systems. Crimea TiOx - 280 based coatings show long - lasting gloss retention and reduced chalking.> | <and water based paints and varnishes. In order to increase light and weather resistance the Pigment is surface treated with zirconium and aluminum hydroxides, and suitable organic surface modifier to improve dispersibility in various dispersion systems. Crimea TiOx - 280 based coatings show long - lasting gloss retention and reduced chalking.> </header>', 'label': [[32, 46, 'measuring_condition'], [55, 58, 'min'], [71, 74, 'min'], [61, 64, 'max'], [77, 80, 'max']]}"
pH,"{'data': 'Water suspension pH | 7,6', 'label': [[0, 16, 'measuring_condition'], [22, 25, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 Content | 92.5 % minimum <header> <TiO 2 Content> | < 92.5 % minimum> </header>', 'label': [[16, 20, 'min'], [21, 22, 'unit']]}"
Density,"{'data': 'Bulk density ( tamped ) [ kg/m 3 ] | 1000', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [26, 32, 'unit'], [37, 41, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content, % | 98.0 Min. | 98.5 <header> <Characteristics> | <Specification> | <Typical Value> </header>', 'label': [[15, 16, 'unit'], [19, 23, 'min']]}"
Production Process,"{'data': 'Product | Titanium dioxide. Rutile pigment produced by the sulphate process.', 'label': []}"
pH,"{'data': 'pH | 8.1 | 7.9 | 8.2 | 7.2 | 8.9 | 8.0 <header> <DuPont™ Ti - Pure® TiO 2 for Coatings — Dry Grades> | <Property> <R - 900 > | <Property> <R - 902 +> | <Property> <R - 706 > | <Property> <R - 960 > | <Property> <R - 931 > | <Property> <TS - 6200 > </header>', 'label': [[5, 8, 'mean'], [11, 14, 'mean'], [17, 20, 'mean'], [23, 26, 'mean'], [29, 32, 'mean'], [35, 38, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption ( g/ 100 g ) | ≤ 19.0', 'label': [[17, 25, 'unit'], [32, 36, 'max']]}"
TiO2 content,"{'data': 'TiO 2 content | 94 %', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
Production Process,"{'data': 'Production rutile pigment produced by the sulphate process | Production rutile pigment produced by the sulphate process <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header> <label>', 'label': []}"
pH,"{'data': 'PH | 6.0 - 8.5', 'label': [[5, 8, 'min'], [11, 14, 'max']]}"
Density,"{'data': 'Bulk Density ( Tap ) ……………………………………………….…………..... | 1100 kg / m 3', 'label': [[0, 4, 'measuring_condition'], [15, 18, 'measuring_condition'], [52, 56, 'mean'], [57, 65, 'unit']]}"
header,"{'data': 'Typical Properties 1 | Typical Properties 1 | Typical Properties 1', 'label': []}"
Particle size,"{'data': 'Median Particle Size, µm | 0.41 <header> <Property> | <R - 900 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean']]}"
Density,"{'data': 'Specific Gravity | 4.2 g/cm 3', 'label': [[19, 22, 'mean'], [23, 29, 'unit']]}"
Oil Absorption,"{'data': 'Oil absorption ( 3 ) | 16 cm 3 / 100 g pigment', 'label': [[23, 25, 'mean'], [26, 38, 'unit'], [39, 46, 'measuring_condition'], [17, 18, 'unclear_value']]}"
stray,"{'data': 'Bulk . | Bulk . | Bulk . | 0.8 kg/l or 50 lbs/cu.ft.', 'label': [[0, 4, 'measuring_condition'], [9, 13, 'measuring_condition'], [18, 22, 'measuring_condition'], [31, 35, 'unit'], [42, 52, 'unit'], [27, 30, 'mean'], [39, 41, 'mean']]}"
TiO2 content,"{'data': ' | Purity TiO 2 % | 94 <header> <> | <Item> | <Specification> </header>', 'label': [[16, 17, 'unit'], [20, 22, 'mean']]}"
Density,"{'data': 'Specific gravity [ g/cm 3 ] | 4.0', 'label': [[19, 25, 'unit'], [30, 33, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content [ % ] | 96', 'label': [[16, 17, 'unit'], [22, 24, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption | 15.2 <header> <Property> | <R - 900 > </header>', 'label': [[17, 21, 'mean']]}"
Density,"{'data': 'Specific Gravity，g/cm 3 | 4.1', 'label': [[17, 23, 'unit'], [26, 29, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption ( g/ 100 g ) | ≤ 19.0', 'label': [[17, 25, 'unit'], [32, 36, 'max']]}"
Inorganic surface treatment,"{'data': 'Surface treatment | aluminium compounds <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header>', 'label': []}"
pH,"{'data': 'PH | 6.0 - 8.5', 'label': [[5, 8, 'min'], [11, 14, 'max']]}"
Inorganic surface treatment,"{'data': 'Surface treatment | Alumina, Zirconia', 'label': []}"
Density,"{'data': '• | Specific gravity: 4.1', 'label': [[22, 25, 'mean']]}"
Density,"{'data': 'Specific gravity: | 4.0', 'label': [[20, 23, 'mean']]}"
Oil Absorption,"{'data': 'Oil absorption [ g/ 100 g pigment ] | 22', 'label': [[17, 25, 'unit'], [26, 33, 'measuring_condition'], [38, 40, 'mean']]}"
Density,"{'data': 'Specific gravity | ............................................................................................................................... 3.55', 'label': [[147, 151, 'mean']]}"
Density,"{'data': 'Specific Gravity | 4.0 <header> <Property> | <R - 900 > </header>', 'label': [[19, 22, 'mean']]}"
Production Process,"{'data': 'Production | rutile pigment produced by the chloride process <label>', 'label': []}"
header,"{'data': 'PROPERTIES | UNITS | GLOWTOX 50 PLUS <header> <PROPERTIES> | <UNITS> | <GLOWTOX 50 PLUS> </header>', 'label': []}"
Density,"{'data': 'Specific Gravity | 4.0 <header> <Property> | <R - 902 > </header>', 'label': [[19, 22, 'mean']]}"
Density,"{'data': 'Specific Gravity ( ISO 787 - 10 ) | 4.0 g/cm 3', 'label': [[19, 31, 'method'], [36, 39, 'mean'], [40, 46, 'unit']]}"
Oil Absorption,"{'data': '8 | Oil absorption | ≤ 20 | GB 5211.15 － 88 <header> <NO> | <Attribute ( with unit ) > <测试项目> | <Specification Limits> <规格> | <Test method> <测试方法> </header>', 'label': [[23, 25, 'max'], [28, 43, 'method'], [0, 1, 'unclear_value']]}"
